"","TAGNUMBER","SEX","TANK_Real","LAST4","condition1","ConditionFactor","condition2","Date"
"7","00186D163B","F",201,"163B","K1",1.14547032571008,"T1",2021-07-29
"6","00186D163B","F",201,"163B","K2",1.19665989911549,"T2",2021-08-30
"4","00186D163B","F",201,"163B","K3",1.1398330958681,"T3",2021-09-29
"1","00186D163B","F",201,"163B","K4",1.12336506581992,"T4",2021-11-04
"2","00186D163B","F",201,"163B","K5",1.05628014923221,"T5",2021-12-09
"5","00186D163B","F",201,"163B","K6",1.15955087560637,"T6",2022-01-06
"3","00186D163B","F",201,"163B","K7",1.23734887291946,"T7",2022-03-30
"10","00186D163D","M",201,"163D","K1",1.11978947957784,"T1",2021-07-29
"8","00186D163D","M",201,"163D","K2",1.1390144335909,"T2",2021-08-30
"11","00186D163D","M",201,"163D","K3",1.11328125,"T3",2021-09-29
"14","00186D163D","M",201,"163D","K4",1.2,"T4",2021-11-04
"12","00186D163D","M",201,"163D","K5",NA,"T5",NA
"13","00186D163D","M",201,"163D","K6",NA,"T6",NA
"9","00186D163D","M",201,"163D","K7",NA,"T7",NA
"20","00186D1640","M",202,"1640","K1",1.02996826171875,"T1",2021-07-29
"15","00186D1640","M",202,"1640","K2",1.13136025659717,"T2",2021-08-30
"19","00186D1640","M",202,"1640","K3",1.0914769458371,"T3",2021-09-29
"16","00186D1640","M",202,"1640","K4",1.28378242966571,"T4",2021-11-04
"21","00186D1640","M",202,"1640","K5",1.2786120425718,"T5",2021-12-09
"17","00186D1640","M",202,"1640","K6",1.25858099757386,"T6",2022-01-06
"18","00186D1640","M",202,"1640","K7",1.28744175282385,"T7",2022-02-04
"24","00186D1646","F",201,"1646","K1",1.05598543468366,"T1",2021-07-29
"28","00186D1646","F",201,"1646","K2",1.23329609262779,"T2",2021-08-30
"23","00186D1646","F",201,"1646","K3",1.15288628472222,"T3",2021-09-29
"27","00186D1646","F",201,"1646","K4",1.1901043807019,"T4",2021-11-04
"22","00186D1646","F",201,"1646","K5",NA,"T5",NA
"25","00186D1646","F",201,"1646","K6",NA,"T6",NA
"26","00186D1646","F",201,"1646","K7",NA,"T7",NA
"29","00186D1648","M",202,"1648","K1",1.06481481481481,"T1",2021-07-29
"30","00186D1648","M",202,"1648","K2",1.13702623906706,"T2",2021-08-30
"31","00186D1648","M",202,"1648","K3",0.951115246891524,"T3",2021-09-29
"35","00186D1648","M",202,"1648","K4",1.16635077999708,"T4",2021-11-04
"32","00186D1648","M",202,"1648","K5",NA,"T5",NA
"33","00186D1648","M",202,"1648","K6",NA,"T6",NA
"34","00186D1648","M",202,"1648","K7",NA,"T7",NA
"41","00186D164C","M",151,"164C","K1",1.08190597667638,"T1",2021-07-29
"39","00186D164C","M",151,"164C","K2",1.00956645634032,"T2",2021-08-30
"38","00186D164C","M",151,"164C","K3",1.10193119849112,"T3",2021-09-29
"37","00186D164C","M",151,"164C","K4",1.19664787561601,"T4",2021-11-04
"40","00186D164C","M",151,"164C","K5",1.16965426024678,"T5",2021-12-09
"42","00186D164C","M",151,"164C","K6",1.13716468526139,"T6",2022-01-06
"36","00186D164C","M",151,"164C","K7",1.21774412148001,"T7",2022-03-30
"44","00186D164E","M",151,"164E","K1",1.08190597667638,"T1",2021-07-29
"47","00186D164E","M",151,"164E","K2",1.1328125,"T2",2021-08-30
"46","00186D164E","M",151,"164E","K3",1.25033726202463,"T3",2021-09-29
"45","00186D164E","M",151,"164E","K4",1.41622797489031,"T4",2021-11-04
"43","00186D164E","M",151,"164E","K5",1.34225760281658,"T5",2021-12-09
"48","00186D164E","M",151,"164E","K6",1.28301349881276,"T6",2022-01-06
"49","00186D164E","M",151,"164E","K7",1.39540934223957,"T7",2022-03-30
"54","00186D164F","F",151,"164F","K1",1.02496355685131,"T1",2021-07-29
"52","00186D164F","F",151,"164F","K2",1.00759419362894,"T2",2021-08-30
"56","00186D164F","F",151,"164F","K3",1.06156432484966,"T3",2021-09-29
"53","00186D164F","F",151,"164F","K4",1.06349173807864,"T4",2021-11-04
"51","00186D164F","F",151,"164F","K5",1.03809153826973,"T5",2021-12-09
"55","00186D164F","F",151,"164F","K6",1.05419610858809,"T6",2022-01-06
"50","00186D164F","F",151,"164F","K7",1.14383860159938,"T7",2022-02-04
"58","00186D1654","F",152,"1654","K1",1.17485146520761,"T1",2021-07-29
"61","00186D1654","F",152,"1654","K2",1.15925525920361,"T2",2021-08-30
"63","00186D1654","F",152,"1654","K3",1.13813973191027,"T3",2021-09-29
"62","00186D1654","F",152,"1654","K4",1.14905511466468,"T4",2021-11-04
"59","00186D1654","F",152,"1654","K5",1.13168724279835,"T5",2021-12-09
"60","00186D1654","F",152,"1654","K6",1.07895907305637,"T6",2022-01-06
"57","00186D1654","F",152,"1654","K7",1.11608912054918,"T7",2022-03-30
"69","00186D1655","M",202,"1655","K1",1.03377655338897,"T1",2021-07-29
"68","00186D1655","M",202,"1655","K2",1.13854595336077,"T2",2021-08-30
"67","00186D1655","M",202,"1655","K3",1.0748513305124,"T3",2021-09-29
"65","00186D1655","M",202,"1655","K4",1.1705532693187,"T4",2021-11-04
"66","00186D1655","M",202,"1655","K5",1.21198083454307,"T5",2021-12-09
"70","00186D1655","M",202,"1655","K6",1.1157980846813,"T6",2022-01-06
"64","00186D1655","M",202,"1655","K7",1.23083676268861,"T7",2022-03-30
"72","00186D1656","M",202,"1656","K1",1.07995442592323,"T1",2021-07-29
"77","00186D1656","M",202,"1656","K2",1.13581278560114,"T2",2021-08-30
"74","00186D1656","M",202,"1656","K3",1.15468727219711,"T3",2021-09-29
"71","00186D1656","M",202,"1656","K4",1.20650918693858,"T4",2021-11-04
"73","00186D1656","M",202,"1656","K5",1.2451171875,"T5",2021-12-09
"75","00186D1656","M",202,"1656","K6",1.28086419753086,"T6",2022-01-06
"76","00186D1656","M",202,"1656","K7",1.35774965639468,"T7",2022-02-04
"84","00186D1659","M",202,"1659","K1",1.13395214721939,"T1",2021-07-29
"82","00186D1659","M",202,"1659","K2",1.07330685843083,"T2",2021-08-30
"83","00186D1659","M",202,"1659","K3",0.911211546872722,"T3",2021-09-29
"81","00186D1659","M",202,"1659","K4",1.22124974557297,"T4",2021-11-04
"80","00186D1659","M",202,"1659","K5",1.26736111111111,"T5",2021-12-09
"79","00186D1659","M",202,"1659","K6",1.27398673326358,"T6",2022-01-06
"78","00186D1659","M",202,"1659","K7",1.60093294460641,"T7",2022-02-04
"87","00186D165E","M",201,"165E","K1",1.07630489154947,"T1",2021-07-29
"89","00186D165E","M",201,"165E","K2",1.11759627393402,"T2",2021-08-30
"91","00186D165E","M",201,"165E","K3",1.11328125,"T3",2021-09-29
"85","00186D165E","M",201,"165E","K4",1.28943758573388,"T4",2021-11-04
"86","00186D165E","M",201,"165E","K5",NA,"T5",NA
"90","00186D165E","M",201,"165E","K6",NA,"T6",NA
"88","00186D165E","M",201,"165E","K7",NA,"T7",NA
"92","00186D1662","M",201,"1662","K1",1.02505227766616,"T1",2021-07-29
"96","00186D1662","M",201,"1662","K2",1.16618075801749,"T2",2021-08-30
"98","00186D1662","M",201,"1662","K3",0.962099125364431,"T3",2021-09-29
"94","00186D1662","M",201,"1662","K4",1.02511299023181,"T4",2021-11-04
"95","00186D1662","M",201,"1662","K5",1.20593219180041,"T5",2021-12-09
"93","00186D1662","M",201,"1662","K6",1.11137959045038,"T6",2022-01-06
"97","00186D1662","M",201,"1662","K7",1.19093287383501,"T7",2022-03-30
"103","00186D1663","F",202,"1663","K1",1.0667956304051,"T1",2021-07-29
"102","00186D1663","F",202,"1663","K2",1.12881201638598,"T2",2021-08-30
"105","00186D1663","F",202,"1663","K3",1.11759627393402,"T3",2021-09-29
"100","00186D1663","F",202,"1663","K4",1.23164345103121,"T4",2021-11-04
"99","00186D1663","F",202,"1663","K5",1.15307849078498,"T5",2021-12-09
"101","00186D1663","F",202,"1663","K6",1.08902377915452,"T6",2022-01-06
"104","00186D1663","F",202,"1663","K7",1.19407407407407,"T7",2022-03-30
"108","00186D1667","F",152,"1667","K1",1.10141377472123,"T1",2021-07-29
"110","00186D1667","F",152,"1667","K2",0.976999796458376,"T2",2021-08-30
"106","00186D1667","F",152,"1667","K3",1.10193119849112,"T3",2021-09-29
"109","00186D1667","F",152,"1667","K4",1.07917503792693,"T4",2021-11-04
"107","00186D1667","F",152,"1667","K5",NA,"T5",NA
"112","00186D1667","F",152,"1667","K6",NA,"T6",NA
"111","00186D1667","F",152,"1667","K7",NA,"T7",NA
"113","00186D166A","F",152,"166A","K1",1.11988080572989,"T1",2021-07-29
"118","00186D166A","F",152,"166A","K2",1.09037037037037,"T2",2021-08-30
"116","00186D166A","F",152,"166A","K3",1.1196967487972,"T3",2021-09-29
"114","00186D166A","F",152,"166A","K4",1.07478817419825,"T4",2021-11-04
"119","00186D166A","F",152,"166A","K5",1.0752,"T5",2021-12-09
"117","00186D166A","F",152,"166A","K6",1.12178021643042,"T6",2022-01-06
"115","00186D166A","F",152,"166A","K7",1.16469853913111,"T7",2022-02-04
"126","00186D166B","F",201,"166B","K1",0.968021137026239,"T1",2021-07-29
"125","00186D166B","F",201,"166B","K2",1.06666666666667,"T2",2021-08-30
"123","00186D166B","F",201,"166B","K3",1.1445811419985,"T3",2021-09-29
"120","00186D166B","F",201,"166B","K4",1.30188214021534,"T4",2021-11-04
"122","00186D166B","F",201,"166B","K5",1.26392603427067,"T5",2021-12-09
"121","00186D166B","F",201,"166B","K6",1.32343936763052,"T6",2022-01-06
"124","00186D166B","F",201,"166B","K7",1.37821950459228,"T7",2022-02-04
"133","00186D166C","M",152,"166C","K1",1.08131487889273,"T1",2021-07-29
"129","00186D166C","M",152,"166C","K2",1.08506944444444,"T2",2021-08-30
"128","00186D166C","M",152,"166C","K3",1.07765197753906,"T3",2021-09-29
"130","00186D166C","M",152,"166C","K4",1.03550844941151,"T4",2021-11-04
"132","00186D166C","M",152,"166C","K5",1.07007563809023,"T5",2021-12-09
"127","00186D166C","M",152,"166C","K6",1.2436860629916,"T6",2022-01-06
"131","00186D166C","M",152,"166C","K7",1.1539238425362,"T7",2022-03-30
"134","00186D166E","F",202,"166E","K1",1.14547032571008,"T1",2021-07-29
"139","00186D166E","F",202,"166E","K2",1.17347608763072,"T2",2021-08-30
"135","00186D166E","F",202,"166E","K3",1.01148030142113,"T3",2021-09-29
"136","00186D166E","F",202,"166E","K4",1.11625391474964,"T4",2021-11-04
"138","00186D166E","F",202,"166E","K5",1.05540101469269,"T5",2021-12-09
"137","00186D166E","F",202,"166E","K6",1.07175145886414,"T6",2022-01-06
"140","00186D166E","F",202,"166E","K7",1.10222222222222,"T7",2022-03-30
"145","00186D166F","M",202,"166F","K1",1.15740740740741,"T1",2021-07-29
"142","00186D166F","M",202,"166F","K2",1.04934180035573,"T2",2021-08-30
"147","00186D166F","M",202,"166F","K3",1.05653643876784,"T3",2021-09-29
"146","00186D166F","M",202,"166F","K4",1.11749498906706,"T4",2021-11-04
"144","00186D166F","M",202,"166F","K5",1.10552253213433,"T5",2021-12-09
"141","00186D166F","M",202,"166F","K6",1.10432748307109,"T6",2022-01-06
"143","00186D166F","M",202,"166F","K7",1.07233281583262,"T7",2022-02-04
"151","00186D1670","F",201,"1670","K1",1.11988080572989,"T1",2021-07-29
"154","00186D1670","F",201,"1670","K2",1.23259259259259,"T2",2021-08-30
"153","00186D1670","F",201,"1670","K3",1.24799533459688,"T3",2021-09-29
"150","00186D1670","F",201,"1670","K4",1.28472222222222,"T4",2021-11-04
"148","00186D1670","F",201,"1670","K5",1.2215466013859,"T5",2021-12-09
"149","00186D1670","F",201,"1670","K6",1.40572362078228,"T6",2022-01-06
"152","00186D1670","F",201,"1670","K7",1.27753928220976,"T7",2022-03-30
"159","00186D1675","M",152,"1675","K1",1.0667956304051,"T1",2021-07-29
"160","00186D1675","M",152,"1675","K2",1.0796443343093,"T2",2021-08-30
"161","00186D1675","M",152,"1675","K3",1.11194035476551,"T3",2021-09-29
"158","00186D1675","M",152,"1675","K4",1.21306035562234,"T4",2021-11-04
"155","00186D1675","M",152,"1675","K5",1.21898957995897,"T5",2021-12-09
"157","00186D1675","M",152,"1675","K6",1.20060519001436,"T6",2022-01-06
"156","00186D1675","M",152,"1675","K7",1.31280006858711,"T7",2022-02-04
"167","00186D167A","F",201,"167A","K1",1.07995442592323,"T1",2021-07-29
"163","00186D167A","F",201,"167A","K2",1.25291587694999,"T2",2021-08-30
"165","00186D167A","F",201,"167A","K3",1.21515938538327,"T3",2021-09-29
"162","00186D167A","F",201,"167A","K4",1.15413293485375,"T4",2021-11-04
"164","00186D167A","F",201,"167A","K5",NA,"T5",NA
"166","00186D167A","F",201,"167A","K6",NA,"T6",NA
"168","00186D167A","F",201,"167A","K7",NA,"T7",NA
"169","00186D167B","F",201,"167B","K1",1.12755750543278,"T1",2021-07-29
"173","00186D167B","F",201,"167B","K2",1.20735529960636,"T2",2021-08-30
"171","00186D167B","F",201,"167B","K3",1.204966415632,"T3",2021-09-29
"170","00186D167B","F",201,"167B","K4",1.29575639779721,"T4",2021-11-04
"174","00186D167B","F",201,"167B","K5",1.3568,"T5",2021-12-09
"172","00186D167B","F",201,"167B","K6",1.33830825372094,"T6",2022-01-06
"175","00186D167B","F",201,"167B","K7",1.48769762680004,"T7",2022-02-04
"182","00186D1680","F",202,"1680","K1",1.21681044610788,"T1",2021-07-29
"181","00186D1680","F",202,"1680","K2",1.19665989911549,"T2",2021-08-30
"176","00186D1680","F",202,"1680","K3",0.96378575042768,"T3",2021-09-29
"180","00186D1680","F",202,"1680","K4",1.81367072445263,"T4",2021-11-04
"179","00186D1680","F",202,"1680","K5",1.20940031828704,"T5",2021-12-09
"177","00186D1680","F",202,"1680","K6",1.24718256949662,"T6",2022-01-06
"178","00186D1680","F",202,"1680","K7",1.34475218658892,"T7",2022-03-30
"185","00186D1683","F",152,"1683","K1",1.05540101469269,"T1",2021-07-29
"189","00186D1683","F",152,"1683","K2",1.06171646023732,"T2",2021-08-30
"188","00186D1683","F",152,"1683","K3",1.08815227762215,"T3",2021-09-29
"184","00186D1683","F",152,"1683","K4",1.04631696428571,"T4",2021-11-04
"187","00186D1683","F",152,"1683","K5",1.04233045061447,"T5",2021-12-09
"183","00186D1683","F",152,"1683","K6",1.02942745889137,"T6",2022-01-06
"186","00186D1683","F",152,"1683","K7",1.01709755880709,"T7",2022-03-30
"193","00186D1684","M",202,"1684","K1",1.00754313963876,"T1",2021-07-29
"192","00186D1684","M",202,"1684","K2",1.03980451675085,"T2",2021-08-30
"194","00186D1684","M",202,"1684","K3",0.919827072510368,"T3",2021-09-29
"191","00186D1684","M",202,"1684","K4",1.10787172011662,"T4",2021-11-04
"195","00186D1684","M",202,"1684","K5",1.01148030142113,"T5",2021-12-09
"196","00186D1684","M",202,"1684","K6",0.993836187400997,"T6",2022-01-06
"190","00186D1684","M",202,"1684","K7",0.919067215363512,"T7",2022-03-30
"199","00186D1685","M",201,"1685","K1",1.08190597667638,"T1",2021-07-29
"201","00186D1685","M",201,"1685","K2",1.09846536351166,"T2",2021-08-30
"198","00186D1685","M",201,"1685","K3",1.11553041442969,"T3",2021-09-29
"200","00186D1685","M",201,"1685","K4",1.07979699816435,"T4",2021-11-04
"197","00186D1685","M",201,"1685","K5",1.05857849121094,"T5",2021-12-09
"203","00186D1685","M",201,"1685","K6",1.12807373900215,"T6",2022-01-06
"202","00186D1685","M",201,"1685","K7",1.11083284637004,"T7",2022-03-30
"207","00186D1687","F",202,"1687","K1",0.971958983330903,"T1",2021-07-29
"208","00186D1687","F",202,"1687","K2",1.06396066005459,"T2",2021-08-30
"206","00186D1687","F",202,"1687","K3",1.11018908966376,"T3",2021-09-29
"209","00186D1687","F",202,"1687","K4",1.1550022760339,"T4",2021-11-04
"210","00186D1687","F",202,"1687","K5",NA,"T5",NA
"205","00186D1687","F",202,"1687","K6",NA,"T6",NA
"204","00186D1687","F",202,"1687","K7",NA,"T7",NA
"213","00186D1688","M",151,"1688","K1",1.07119033591555,"T1",2021-07-29
"216","00186D1688","M",151,"1688","K2",0.971851851851852,"T2",2021-08-30
"214","00186D1688","M",151,"1688","K3",1.02030405060708,"T3",2021-09-29
"211","00186D1688","M",151,"1688","K4",1.40430256276957,"T4",2021-11-04
"212","00186D1688","M",151,"1688","K5",1.19500432351447,"T5",2021-12-09
"215","00186D1688","M",151,"1688","K6",1.13813234568916,"T6",2022-01-06
"217","00186D1688","M",151,"1688","K7",1.31872106481481,"T7",2022-03-30
"223","00186D1689","M",202,"1689","K1",1.12755750543278,"T1",2021-07-29
"224","00186D1689","M",202,"1689","K2",1.18246760424352,"T2",2021-08-30
"218","00186D1689","M",202,"1689","K3",1.19486334536582,"T3",2021-09-29
"219","00186D1689","M",202,"1689","K4",1.26220886551465,"T4",2021-11-04
"222","00186D1689","M",202,"1689","K5",NA,"T5",NA
"220","00186D1689","M",202,"1689","K6",NA,"T6",NA
"221","00186D1689","M",202,"1689","K7",NA,"T7",NA
"227","00186D1690","M",151,"1690","K1",1.07995442592323,"T1",2021-07-29
"225","00186D1690","M",151,"1690","K2",1.11711530163208,"T2",2021-08-30
"229","00186D1690","M",151,"1690","K3",1.12649107010938,"T3",2021-09-29
"226","00186D1690","M",151,"1690","K4",1.09695038689122,"T4",2021-11-04
"228","00186D1690","M",151,"1690","K5",1.1083984375,"T5",2021-12-09
"230","00186D1690","M",151,"1690","K6",1.14678346801768,"T6",2022-01-06
"231","00186D1690","M",151,"1690","K7",1.26406887245479,"T7",2022-03-30
"233","00186D1695","F",151,"1695","K1",1.07995442592323,"T1",2021-07-29
"232","00186D1695","F",151,"1695","K2",1.04296296296296,"T2",2021-08-30
"238","00186D1695","F",151,"1695","K3",1.06246383101852,"T3",2021-09-29
"237","00186D1695","F",151,"1695","K4",1.04620585011313,"T4",2021-11-04
"236","00186D1695","F",151,"1695","K5",1.01214883001683,"T5",2021-12-09
"235","00186D1695","F",151,"1695","K6",1.14436998576254,"T6",2022-01-06
"234","00186D1695","F",151,"1695","K7",1.14157254405611,"T7",2022-03-30
"243","00186D1696","F",201,"1696","K1",1.01610526850582,"T1",2021-07-29
"244","00186D1696","F",201,"1696","K2",1.08965636708567,"T2",2021-08-30
"245","00186D1696","F",201,"1696","K3",1.07496567208679,"T3",2021-09-29
"239","00186D1696","F",201,"1696","K4",1.15468727219711,"T4",2021-11-04
"242","00186D1696","F",201,"1696","K5",1.07175145886414,"T5",2021-12-09
"240","00186D1696","F",201,"1696","K6",1.15612198452435,"T6",2022-01-06
"241","00186D1696","F",201,"1696","K7",1.14934040482025,"T7",2022-03-30
"252","00186D1697","M",151,"1697","K1",1.17485146520761,"T1",2021-07-29
"251","00186D1697","M",151,"1697","K2",1.07469977610421,"T2",2021-08-30
"250","00186D1697","M",151,"1697","K3",1.18794986851555,"T3",2021-09-29
"246","00186D1697","M",151,"1697","K4",1.16602175586836,"T4",2021-11-04
"247","00186D1697","M",151,"1697","K5",1.2002743484225,"T5",2021-12-09
"248","00186D1697","M",151,"1697","K6",1.14791654813382,"T6",2022-01-06
"249","00186D1697","M",151,"1697","K7",1.17360158512422,"T7",2022-03-30
"257","00186D1699","F",152,"1699","K1",1.13395214721939,"T1",2021-07-29
"255","00186D1699","F",152,"1699","K2",1.10535015179285,"T2",2021-08-30
"254","00186D1699","F",152,"1699","K3",1.12,"T3",2021-09-29
"259","00186D1699","F",152,"1699","K4",1.19253417705126,"T4",2021-11-04
"258","00186D1699","F",152,"1699","K5",NA,"T5",NA
"253","00186D1699","F",152,"1699","K6",NA,"T6",NA
"256","00186D1699","F",152,"1699","K7",NA,"T7",NA
"266","00186D169A","F",152,"169A","K1",1.01610526850582,"T1",2021-07-29
"261","00186D169A","F",152,"169A","K2",1.02823269934219,"T2",2021-08-30
"265","00186D169A","F",152,"169A","K3",1.1,"T3",2021-09-29
"264","00186D169A","F",152,"169A","K4",1.12095106470334,"T4",2021-11-04
"263","00186D169A","F",152,"169A","K5",1.16987572792655,"T5",2021-12-09
"260","00186D169A","F",152,"169A","K6",1.25394708343308,"T6",2022-01-06
"262","00186D169A","F",152,"169A","K7",1.05408,"T7",2022-03-30
"268","00186D169B","F",151,"169B","K1",1.08189331329827,"T1",2021-07-29
"267","00186D169B","F",151,"169B","K2",1.07421875,"T2",2021-08-30
"269","00186D169B","F",151,"169B","K3",1.07438016528926,"T3",2021-09-29
"273","00186D169B","F",151,"169B","K4",1.13479839719509,"T4",2021-11-04
"270","00186D169B","F",151,"169B","K5",1.73414947514215,"T5",2021-12-09
"272","00186D169B","F",151,"169B","K6",1.20273684843546,"T6",2022-01-06
"271","00186D169B","F",151,"169B","K7",1.24935349315207,"T7",2022-03-30
"278","00186D169C","F",152,"169C","K1",1.07995442592323,"T1",2021-07-29
"279","00186D169C","F",152,"169C","K2",1.1390144335909,"T2",2021-08-30
"280","00186D169C","F",152,"169C","K3",1.1509800064161,"T3",2021-09-29
"277","00186D169C","F",152,"169C","K4",1.20306863791089,"T4",2021-11-04
"274","00186D169C","F",152,"169C","K5",NA,"T5",NA
"275","00186D169C","F",152,"169C","K6",NA,"T6",NA
"276","00186D169C","F",152,"169C","K7",NA,"T7",NA
"285","00186D16A0","M",201,"16A0","K1",1.05735722373238,"T1",2021-07-29
"283","00186D16A0","M",201,"16A0","K2",1.23013558827817,"T2",2021-08-30
"281","00186D16A0","M",201,"16A0","K3",1.09435694311044,"T3",2021-09-29
