,Ind,TimePoint,Treatment,Replicate,Temp,Mass,MR.mass,MR.abs,ln_Mass,ln_MR.mass,ln_MR.abs
1,BT_1,0,15,1,15.1586,5.4,156.5667747,0.845460583,1.686398954,5.053482594,-0.167873731
2,BT_2,0,15,1,15.17633333,5.5,139.4149009,0.766781955,1.704748092,4.937454386,-0.265552801
3,BT_3,0,15,1,15.15897971,7.7,166.6870438,1.283490237,2.041220329,5.116118065,0.249583115
4,BT_4,0,15,1,15.15893788,5.1,119.4206458,0.609045294,1.62924054,4.782652099,-0.49586264
5,BT_5,0,15,1,14.87309015,4.5,214.4274632,0.964923584,1.504077397,5.367971514,-0.035706368
6,BT_6,0,15,1,14.88419546,3.6,257.2341795,0.926043046,1.280933845,5.549986874,-0.076834559
7,BT_7,0,15,1,14.88465303,4.7,198.5363959,0.933121061,1.547562509,5.290972438,-0.069220332
8,BT_8,0,15,1,14.80941742,5.7,201.8944626,1.150798437,1.740466175,5.307745099,0.140455995
9,BT_1,0,15,2,15.1016303,3.6,168.8079518,0.607708627,1.280933845,5.128761689,-0.498059745
10,BT_2,0,15,2,15.13563044,5.5,179.8817785,0.989349782,1.704748092,5.192299849,-0.010707338
11,BT_3,0,15,2,15.15149275,4.8,169.3501865,0.812880895,1.568615918,5.131968681,-0.20717068
12,BT_4,0,15,2,15.0852913,6.5,167.3875169,1.08801886,1.871802177,5.120311585,0.084358483
13,BT_5,0,15,2,14.75650725,8.2,176.7187517,1.449093764,2.104134154,5.174559495,0.370938371
14,BT_6,0,15,2,14.80618413,5,202.4426604,1.012213302,1.609437912,5.310456688,0.012139322
15,BT_7,0,15,2,14.8722413,7.4,176.6521583,1.307225971,2.00148,5.174182591,0.267907313
16,BT_8,0,15,2,14.81948406,8.3,155.6607989,1.291984631,2.116255515,5.047679274,0.25617951
17,BT_1,3,15,1,14.01361285,25.9,100.6765774,2.607523354,3.254242969,4.611913175,0.958400865
18,BT_2,3,15,1,14.02672396,32.5,120.5334448,3.917336958,3.481240089,4.791927265,1.365412075
19,BT_3,3,15,1,14.05881944,23.7,124.4181067,2.948709129,3.165475048,4.823647722,1.081367491
20,BT_4,3,15,1,14.15000694,40,136.8786836,5.475147345,3.688879454,4.919095013,1.700219188
21,BT_5,3,15,1,14.43317376,20.9,113.4834053,2.371803171,3.039749159,4.731656618,0.863650498
22,BT_6,3,15,1,14.30536111,49.8,117.8614364,5.869499532,3.908014984,4.769509667,1.769769372
23,BT_7,3,15,1,14.39878819,31.2,106.9938723,3.338208815,3.440418095,4.672771564,1.20543438
24,BT_8,3,15,1,14.39863368,37.6,121.7351183,4.577240448,3.62700405,4.801847523,1.521096294
25,BT_1,3,15,2,14.52940646,47.7,114.8628145,5.478956251,3.864931398,4.743738499,1.700914618
26,BT_2,3,15,2,14.52313265,35.9,131.287484,4.713220676,3.580737295,4.877389453,1.55037147
27,BT_3,3,15,2,14.50997518,41.5,110.1342589,4.570571745,3.725693427,4.701700157,1.519638305
28,BT_4,3,15,2,14.56626701,22.7,131.1715103,2.977593284,3.122364924,4.876505706,1.091115351
29,BT_5,3,15,2,14.82886735,44.2,118.7483849,5.248678613,3.788724789,4.777006842,1.657976352
30,BT_6,3,15,2,14.91788298,25.2,112.4288396,2.833206757,3.226843995,4.722320484,1.0414092
31,BT_7,3,15,2,14.83475,33.4,111.6666585,3.729666395,3.5085559,4.71551817,1.316318791
32,BT_8,3,15,2,14.84878401,41.8,138.2850143,5.780313596,3.73289634,4.929316876,1.754457937
33,BT_1,6,15,1,14.79166313,204.9,123.4733246,25.29968422,5.322522055,4.816025138,3.230791914
34,BT_2,6,15,1,14.70164615,117.5,149.23978,17.53567415,4.766438334,5.005554274,2.864237329
35,BT_3,6,15,1,14.81853365,209.8,118.7167757,24.90677954,5.346154696,4.77674062,3.215140037
36,BT_4,6,15,1,14.82161538,159.9,123.0479838,19.67537261,5.07454862,4.812574392,2.979367733
37,BT_5,6,15,1,14.43139121,207.2,119.9909452,24.86212385,5.33368451,4.787416284,3.213345515
38,BT_6,6,15,1,14.50755385,140.2,126.8816148,17.78880239,4.943069975,4.843254485,2.87856918
39,BT_1,6,15,2,14.8353418,172.2,95.23034891,16.39866608,5.148656592,4.556298682,2.797199995
40,BT_2,6,15,2,14.77334226,122.2,113.1069223,13.82166591,4.805659047,4.728333586,2.626237354
41,BT_3,6,15,2,14.856125,95.3,154.5070696,14.72452373,4.557029811,5.040239853,2.689514385
42,BT_4,6,15,2,14.847025,124,107.5575006,13.33713008,4.820281566,4.678025594,2.590551881
43,BT_5,6,15,2,14.49599643,221,99.65676205,22.02414441,5.398162702,4.601731902,3.092139325
44,BT_6,6,15,2,14.51773958,176.8,98.95929933,17.49600412,5.17501915,4.594708648,2.861972519
45,BT_1,0,20,1,19.74946667,6,173.1699532,1.039019719,1.791759469,5.154273501,0.038277691
46,BT_2,0,20,1,19.94864855,7,184.4983685,1.29148858,1.945910149,5.217640621,0.255795491
47,BT_3,0,20,1,19.89321159,6.3,207.8050813,1.309172012,1.840549633,5.336600531,0.269394885
48,BT_4,0,20,1,19.73123913,3.8,188.1843911,0.715100686,1.335001067,5.237422286,-0.335331926
49,BT_5,0,20,1,19.5294029,4.6,192.2872276,0.884521247,1.526056303,5.258990231,-0.122708744
50,BT_6,0,20,1,19.49966232,6.7,181.1750539,1.213872861,1.902107526,5.199463712,0.19381596
51,BT_7,0,20,1,19.52029565,4.9,216.6486382,1.061578327,1.589235205,5.378276862,0.059756789
52,BT_8,0,20,1,19.53072971,6.8,225.6443491,1.534381574,1.916922612,5.418960083,0.428127416
53,BT_1,0,20,2,19.78814928,6.6,207.9316778,1.372349073,1.887069649,5.337209554,0.316523924
54,BT_3,0,20,2,19.77076377,4.9,158.4198901,0.776257461,1.589235205,5.06524904,-0.253271034
55,BT_4,0,20,2,19.8006029,5.2,194.7214565,1.012551574,1.648658626,5.271570109,0.012473456
56,BT_5,0,20,2,19.54383696,5.3,185.9778334,0.985682517,1.667706821,5.225627491,-0.014420967
57,BT_7,0,20,2,19.45418913,7,187.2386193,1.310670335,1.945910149,5.232383843,0.270538713
58,BT_8,0,20,2,19.46798478,8.7,197.3844382,1.717244613,2.163323026,5.28515329,0.540721037
59,BT_1,3,20,1,18.80974132,17.4,179.5082995,3.123444412,2.856470206,5.190221444,1.138936371
60,BT_2,3,20,1,18.67117188,26.7,143.6306916,3.834939467,3.284663565,4.967245364,1.34415365
61,BT_3,3,20,1,18.82572049,32.3,170.2891322,5.500338971,3.47506723,5.13749777,1.704809721
62,BT_4,3,20,1,18.76005035,22.4,151.5670749,3.395102477,3.109060959,5.021028265,1.222333945
63,BT_5,3,20,1,19.26969444,38.6,178.5616496,6.892479673,3.653252276,5.184933917,1.930430915
64,BT_6,3,20,1,19.11253125,20,156.2050523,3.124101046,2.995732274,5.051169582,1.139146577
65,BT_7,3,20,1,18.90301042,15.2,189.895569,2.886412648,2.721295428,5.246474284,1.060014433
66,BT_8,3,20,1,18.83910069,21.7,169.3384286,3.6746439,3.077312261,5.131899249,1.30145623
67,BT_1,3,20,2,19.28323785,18.4,179.1016479,3.295470322,2.912350665,5.18795351,1.192548896
68,BT_2,3,20,2,19.37293056,26.8,170.4473105,4.567987921,3.288401888,5.13842622,1.519072828
69,BT_3,3,20,2,19.42533073,16.4,155.4938644,2.550099377,2.797281335,5.046606274,0.93613233
70,BT_4,3,20,2,19.35626389,27.7,152.4218464,4.222085145,3.321432413,5.026651982,1.440329116
71,BT_5,3,20,2,19.55226736,28.5,155.2672734,4.425117292,3.349904087,5.045147977,1.487296785
72,BT_6,3,20,2,19.77083532,16.9,153.6104061,2.596015862,2.827313622,5.034419566,0.953977909
73,BT_7,3,20,2,19.63165625,26.8,171.5380382,4.597219424,3.288401888,5.144805039,1.525451648
74,BT_8,3,20,2,19.70563258,10.8,197.2539228,2.130342366,2.379546134,5.284491847,0.756282702
75,BT_1,6,20,1,19.60885,96.3,115.3999332,11.11301356,4.567468319,4.748403775,2.408116815
76,BT_2,6,20,1,19.59395,104.4,103.7946105,10.83615733,4.648229675,4.642414047,2.382888443
77,BT_3,6,20,1,19.52435238,94.1,147.1688697,13.84859064,4.544358047,4.991580701,2.628183469
78,BT_4,6,20,1,19.54548125,118.4,96.88032562,11.47063055,4.774068722,4.57347646,2.439789904
79,BT_5,6,20,1,19.5000875,96.1,142.987921,13.74113921,4.565389316,4.962760158,2.620394195
80,BT_6,6,20,1,19.51687286,141.3,124.3183759,17.56618652,4.95088529,4.822845823,2.865975834
81,BT_1,6,20,2,19.38324167,161.2,109.9499494,17.72393184,5.08264583,4.700025257,2.874915808
82,BT_3,6,20,2,19.4617625,108.1,95.7520663,10.35079837,4.683056725,4.561762208,2.337063654
83,BT_4,6,20,2,19.45465,113.9,93.14993063,10.6097771,4.73532087,4.534210352,2.361775944
84,BT_5,6,20,2,19.5447,90.5,137.2345639,12.41972803,4.505349851,4.921691607,2.519286179
85,BT_6,6,20,2,19.61716935,116.6,114.4314214,13.34270374,4.758749274,4.739975704,2.590969699